Time,X(CH1),
Second,Volt,
-2.0599563e+00,2.88000e-02,
-2.0499563e+00,3.28000e-02,
-2.0399563e+00,3.28000e-02,
-2.0299563e+00,2.88000e-02,
-2.0199564e+00,3.44000e-02,
-2.0099564e+00,2.96000e-02,
-1.9999564e+00,3.44000e-02,
-1.9899564e+00,3.04000e-02,
-1.9799564e+00,3.04000e-02,
-1.9699564e+00,3.52000e-02,
-1.9599564e+00,3.12000e-02,
-1.9499564e+00,3.60000e-02,
-1.9399564e+00,3.20000e-02,
-1.9299564e+00,3.76000e-02,
-1.9199564e+00,3.76000e-02,
-1.9099565e+00,3.28000e-02,
-1.8999565e+00,3.44000e-02,
-1.8899565e+00,3.92000e-02,
-1.8799565e+00,3.92000e-02,
-1.8699565e+00,3.44000e-02,
-1.8599565e+00,3.52000e-02,
-1.8499565e+00,4.00000e-02,
-1.8399565e+00,3.52000e-02,
-1.8299565e+00,4.16000e-02,
-1.8199565e+00,4.16000e-02,
-1.8099566e+00,3.60000e-02,
-1.7999566e+00,3.76000e-02,
-1.7899566e+00,4.24000e-02,
-1.7799566e+00,4.24000e-02,
-1.7699566e+00,3.76000e-02,
-1.7599566e+00,4.32000e-02,
-1.7499566e+00,3.92000e-02,
-1.7399566e+00,3.92000e-02,
-1.7299566e+00,4.48000e-02,
-1.7199566e+00,4.48000e-02,
-1.7099566e+00,4.00000e-02,
-1.6999567e+00,4.56000e-02,
-1.6899567e+00,4.16000e-02,
-1.6799567e+00,4.16000e-02,
-1.6699567e+00,4.64000e-02,
-1.6599567e+00,4.24000e-02,
-1.6499567e+00,4.80000e-02,
-1.6399567e+00,4.80000e-02,
-1.6299567e+00,4.32000e-02,
-1.6199567e+00,4.48000e-02,
-1.6099567e+00,4.88000e-02,
-1.5999568e+00,4.48000e-02,
-1.5899568e+00,4.96000e-02,
-1.5799568e+00,4.96000e-02,
-1.5699568e+00,4.56000e-02,
-1.5599568e+00,5.12000e-02,
-1.5499568e+00,4.64000e-02,
-1.5399568e+00,4.80000e-02,
-1.5299568e+00,5.20000e-02,
-1.5199568e+00,4.88000e-02,
-1.5099568e+00,5.28000e-02,
-1.4999568e+00,5.44000e-02,
-1.4899569e+00,4.96000e-02,
-1.4799569e+00,5.44000e-02,
-1.4699569e+00,4.96000e-02,
-1.4599569e+00,5.12000e-02,
-1.4499569e+00,5.52000e-02,
-1.4399569e+00,5.20000e-02,
-1.4299569e+00,5.60000e-02,
-1.4199569e+00,5.68000e-02,
-1.4099569e+00,5.20000e-02,
-1.3999569e+00,5.76000e-02,
-1.3899570e+00,5.28000e-02,
